,Submitted Date,Year,Make,Model,County,ZIP,EV Type,Transaction Type,Reduction_CO2,Reduction_Petroleum,Rebate Amount (USD)
858,06/06/2017,2017,Chevrolet,Bolt,Queens,11385,BEV,Lease,3.07,592.89,2000
859,08/03/2017,2017,Chevrolet,Bolt,Queens,11105,BEV,Lease,3.07,592.89,2000
860,08/17/2017,2017,Chevrolet,Bolt,Tioga,14892,BEV,Purchase,3.07,592.89,2000
861,06/09/2017,2017,Chevrolet,Bolt,Westchester,10567,BEV,Purchase,3.07,592.89,2000
862,06/02/2017,2017,Chevrolet,Bolt,Westchester,10576,BEV,Purchase,3.07,592.89,2000
863,07/10/2017,2017,Chevrolet,Bolt,Monroe,14511,BEV,Purchase,3.07,592.89,2000
864,07/27/2018,2018,Chevrolet,Bolt,Erie,14031,BEV,Purchase,3.07,592.89,2000
865,10/05/2017,2017,Chevrolet,Bolt,Onondaga,13039,BEV,Lease,3.07,592.89,2000
866,10/26/2017,2017,Chevrolet,Bolt,Richmond,10314,BEV,Purchase,3.07,592.89,2000
867,06/28/2017,2017,Chevrolet,Bolt,Onondaga,13090,BEV,Purchase,3.07,592.89,2000
868,01/02/2018,2018,Chevrolet,Bolt,Queens,11373,BEV,Purchase,3.07,592.89,2000
869,11/16/2017,2017,Chevrolet,Bolt,Tompkins,14850,BEV,Purchase,3.07,592.89,2000
870,08/18/2017,2017,Chevrolet,Bolt,Erie,14209,BEV,Purchase,3.07,592.89,2000
871,11/02/2017,2017,Chevrolet,Bolt,Albany,12205,BEV,Lease,3.07,592.89,2000
872,12/08/2017,2017,Chevrolet,Bolt,Monroe,14450,BEV,Purchase,3.07,592.89,2000
873,11/27/2017,2017,Chevrolet,Bolt,Saratoga,12822,BEV,Lease,3.07,592.89,2000
874,11/30/2017,2017,Chevrolet,Bolt,Broome,13760,BEV,Purchase,3.07,592.89,2000
875,11/27/2017,2017,Chevrolet,Bolt,Nassau,11598,BEV,Lease,3.07,592.89,2000
876,04/24/2018,2018,Chevrolet,Bolt,Dutchess,12603,BEV,Purchase,3.07,592.89,2000
877,03/13/2018,2018,Chevrolet,Bolt,Sullivan,12778,BEV,Purchase,3.07,592.89,2000
878,05/01/2018,2018,Chevrolet,Bolt,Livingston,14435,BEV,Purchase,3.07,592.89,2000
879,06/03/2017,2017,Chevrolet,Bolt,Westchester,10605,BEV,Lease,3.07,592.89,2000
880,04/06/2017,2017,Chevrolet,Bolt,Dutchess,12572,BEV,Lease,3.07,592.89,2000
881,05/05/2017,2017,Chevrolet,Bolt,Westchester,10533,BEV,Lease,3.07,592.89,2000
882,04/27/2017,2017,Chevrolet,Bolt,Saratoga,12027,BEV,Lease,3.07,592.89,2000
883,04/24/2017,2017,Chevrolet,Bolt,Monroe,14514,BEV,Purchase,3.07,592.89,2000
884,06/13/2017,2017,Chevrolet,Bolt,Erie,14221,BEV,Purchase,3.07,592.89,2000
885,04/21/2017,2017,Chevrolet,Bolt,Ulster,12477,BEV,Lease,3.07,592.89,2000
886,06/07/2017,2017,Chevrolet,Bolt,Onondaga,13078,BEV,Purchase,3.07,592.89,2000
887,07/31/2017,2017,Chevrolet,Bolt,Monroe,14450,BEV,Lease,3.07,592.89,2000
888,08/07/2017,2017,Chevrolet,Bolt,Westchester,10701,BEV,Lease,3.07,592.89,2000
889,01/16/2018,2018,Chevrolet,Bolt,Seneca,13148,BEV,Lease,3.07,592.89,2000
890,06/15/2017,2017,Chevrolet,Bolt,Queens,11691,BEV,Purchase,3.07,592.89,2000
891,06/13/2017,2017,Chevrolet,Bolt,Saratoga,12020,BEV,Purchase,3.07,592.89,2000
892,11/17/2017,2017,Chevrolet,Bolt,Albany,12159,BEV,Purchase,3.07,592.89,2000
893,05/31/2017,2017,Chevrolet,Bolt,Orange,10992,BEV,Purchase,3.07,592.89,2000
894,10/16/2017,2017,Chevrolet,Bolt,Dutchess,12571,BEV,Purchase,3.07,592.89,2000
895,06/08/2017,2017,Chevrolet,Bolt,Orange,10924,BEV,Purchase,3.07,592.89,2000
896,06/12/2017,2017,Chevrolet,Bolt,Clinton,12901,BEV,Purchase,3.07,592.89,2000
897,12/02/2017,2017,Chevrolet,Bolt,Madison,13346,BEV,Lease,3.07,592.89,2000
898,09/17/2017,2017,Chevrolet,Bolt,Nassau,11572,BEV,Purchase,3.07,592.89,2000
899,09/22/2017,2017,Chevrolet,Bolt,Steuben,14870,BEV,Lease,3.07,592.89,2000
900,01/12/2018,2018,Chevrolet,Bolt,Westchester,10605,BEV,Purchase,3.07,592.89,2000
901,10/19/2017,2017,Chevrolet,Bolt,Monroe,14608,BEV,Lease,3.07,592.89,2000
902,08/10/2017,2017,Chevrolet,Bolt,Ontario,14424,BEV,Purchase,3.07,592.89,2000
903,08/16/2017,2017,Chevrolet,Bolt,Westchester,10549,BEV,Lease,3.07,592.89,2000
904,11/28/2017,2017,Chevrolet,Bolt,Monroe,14534,BEV,Purchase,3.07,592.89,2000
905,12/07/2017,2017,Chevrolet,Bolt,Erie,14224,BEV,Lease,3.07,592.89,2000
906,05/29/2018,2018,Chevrolet,Bolt,Saratoga,12065,BEV,Purchase,3.07,592.89,2000
907,11/27/2017,2017,Chevrolet,Bolt,Rockland,10952,BEV,Purchase,3.07,592.89,2000
908,11/02/2017,2017,Chevrolet,Bolt,Albany,12159,BEV,Lease,3.07,592.89,2000
909,10/18/2017,2017,Chevrolet,Bolt,Suffolk,11772,BEV,Lease,3.07,592.89,2000
910,02/09/2018,2018,Chevrolet,Bolt,Westchester,10583,BEV,Lease,3.07,592.89,2000
911,05/08/2018,2018,Chevrolet,Bolt,Oswego,13135,BEV,Purchase,3.07,592.89,2000
912,03/14/2018,2018,Chevrolet,Bolt,New York,10014,BEV,Purchase,3.07,592.89,2000
913,12/07/2017,2017,Chevrolet,Bolt,Suffolk,11940,BEV,Lease,3.07,592.89,2000
914,11/28/2017,2017,Chevrolet,Bolt,Dutchess,12603,BEV,Purchase,3.07,592.89,2000
915,12/18/2017,2017,Chevrolet,Bolt,Queens,11356,BEV,Purchase,3.07,592.89,2000
916,01/25/2018,2018,Chevrolet,Bolt,Suffolk,11787,BEV,Lease,3.07,592.89,2000
917,12/18/2017,2017,Chevrolet,Bolt,Westchester,10804,BEV,Lease,3.07,592.89,2000
